Created as New Dataset;
cm-1;%T
1722,00;108,09
1720,00;107,38
1718,00;106,65
1716,00;105,92
1714,00;105,19
1712,00;104,48
1710,00;103,78
1708,00;103,12
1706,00;102,48
1704,00;101,88
1702,00;101,33
1700,00;100,81
1698,00;100,34
1696,00;99,91
1694,00;99,52
1692,00;99,18
1690,00;98,87
1688,00;98,60
1686,00;98,36
1684,00;98,14
1682,00;97,95
1680,00;97,78
1678,00;97,63
1676,00;97,50
1674,00;97,39
1672,00;97,30
1670,00;97,23
1668,00;97,18
1666,00;97,15
1664,00;97,14
1662,00;97,14
1660,00;97,15
1658,00;97,17
1656,00;97,19
1654,00;97,22
1652,00;97,25
1650,00;97,27
1648,00;97,28
1646,00;97,28
1644,00;97,28
1642,00;97,27
1640,00;97,25
1638,00;97,24
1636,00;97,24
1634,00;97,24
1632,00;97,24
1630,00;97,26
1628,00;97,28
1626,00;97,30
1624,00;97,32
1622,00;97,35
1620,00;97,38
1618,00;97,41
1616,00;97,43
1614,00;97,44
1612,00;97,45
1610,00;97,44
1608,00;97,43
1606,00;97,41
1604,00;97,39
1602,00;97,37
1600,00;97,34
1598,00;97,32
1596,00;97,31
1594,00;97,30
1592,00;97,30
1590,00;97,31
1588,00;97,32
1586,00;97,34
1584,00;97,37
1582,00;97,40
1580,00;97,42
1578,00;97,45
1576,00;97,48
1574,00;97,50
1572,00;97,52
1570,00;97,53
1568,00;97,55
1566,00;97,56
1564,00;97,57
1562,00;97,58
1560,00;97,59
1558,00;97,60
1556,00;97,61
1554,00;97,62
1552,00;97,64
1550,00;97,66
1548,00;97,69
1546,00;97,72
1544,00;97,75
1542,00;97,77
1540,00;97,80
1538,00;97,83
1536,00;97,86
1534,00;97,88
1532,00;97,91
1530,00;97,93
1528,00;97,95
1526,00;97,97
1524,00;97,98
1522,00;97,99
1520,00;98,00
1518,00;98,01
1516,00;98,02
1514,00;98,04
1512,00;98,05
1510,00;98,07
1508,00;98,09
1506,00;98,12
1504,00;98,14
1502,00;98,16
1500,00;98,18
1498,00;98,20
1496,00;98,22
1494,00;98,25
1492,00;98,27
1490,00;98,30
1488,00;98,32
1486,00;98,34
1484,00;98,37
1482,00;98,40
1480,00;98,44
1478,00;98,49
1476,00;98,54
1474,00;98,61
1472,00;98,68
1470,00;98,75
1468,00;98,83
1466,00;98,91
1464,00;98,98
1462,00;99,05
1460,00;99,12
1458,00;99,18
1456,00;99,23
1454,00;99,28
1452,00;99,32
1450,00;99,36
1448,00;99,39
1446,00;99,42
1444,00;99,44
1442,00;99,46
1440,00;99,47
1438,00;99,49
1436,00;99,50
1434,00;99,50
1432,00;99,50
1430,00;99,50
1428,00;99,49
1426,00;99,47
1424,00;99,44
1422,00;99,41
1420,00;99,38
1418,00;99,35
1416,00;99,32
1414,00;99,31
1412,00;99,31
1410,00;99,33
1408,00;99,38
1406,00;99,47
1404,00;99,59
1402,00;99,76
1400,00;99,98
1398,00;100,24
1396,00;100,54
1394,00;100,89
1392,00;101,28
1390,00;101,70
1388,00;102,14
1386,00;102,60
1384,00;103,06
1382,00;103,51
1380,00;103,94
1378,00;104,34
1376,00;104,70
1374,00;105,00
1372,00;105,25
1370,00;105,42
1368,00;105,53
1366,00;105,56
1364,00;105,52
1362,00;105,41
1360,00;105,23
1358,00;104,98
1356,00;104,69
1354,00;104,34
1352,00;103,96
1350,00;103,56
1348,00;103,13
1346,00;102,70
1344,00;102,26
1342,00;101,83
1340,00;101,42
1338,00;101,02
1336,00;100,64
1334,00;100,29
1332,00;99,98
1330,00;99,69
1328,00;99,43
1326,00;99,20
1324,00;99,00
1322,00;98,84
1320,00;98,69
1318,00;98,58
1316,00;98,48
1314,00;98,40
1312,00;98,34
1310,00;98,28
1308,00;98,24
1306,00;98,20
1304,00;98,17
1302,00;98,14
1300,00;98,11
1298,00;98,09
1296,00;98,07
1294,00;98,05
1292,00;98,03
1290,00;98,01
1288,00;98,00
1286,00;97,99
1284,00;97,98
1282,00;97,97
1280,00;97,96
1278,00;97,96
1276,00;97,95
1274,00;97,95
1272,00;97,95
1270,00;97,96
1268,00;97,98
1266,00;98,01
1264,00;98,05
1262,00;98,12
1260,00;98,22
1258,00;98,34
1256,00;98,50
1254,00;98,70
1252,00;98,94
1250,00;99,22
1248,00;99,54
1246,00;99,91
1244,00;100,31
1242,00;100,74
1240,00;101,20
1238,00;101,68
1236,00;102,17
1234,00;102,65
1232,00;103,11
1230,00;103,55
1228,00;103,94
1226,00;104,28
1224,00;104,55
1222,00;104,75
1220,00;104,86
1218,00;104,89
1216,00;104,84
1214,00;104,69
1212,00;104,46
1210,00;104,16
1208,00;103,78
1206,00;103,33
1204,00;102,83
1202,00;102,28
1200,00;101,71
1198,00;101,10
1196,00;100,49
1194,00;99,87
1192,00;99,25
1190,00;98,65
1188,00;98,07
1186,00;97,51
1184,00;96,99
1182,00;96,50
1180,00;96,04
1178,00;95,62
1176,00;95,24
1174,00;94,89
1172,00;94,58
1170,00;94,30
1168,00;94,04
1166,00;93,81
1164,00;93,60
1162,00;93,41
1160,00;93,23
1158,00;93,05
1156,00;92,88
1154,00;92,71
1152,00;92,54
1150,00;92,36
1148,00;92,17
1146,00;91,98
1144,00;91,78
1142,00;91,57
1140,00;91,36
1138,00;91,13
1136,00;90,90
1134,00;90,66
1132,00;90,42
1130,00;90,17
1128,00;89,92
1126,00;89,66
1124,00;89,40
1122,00;89,15
1120,00;88,90
1118,00;88,65
1116,00;88,40
1114,00;88,17
1112,00;87,94
1110,00;87,73
1108,00;87,53
1106,00;87,34
1104,00;87,17
1102,00;87,01
1100,00;86,86
1098,00;86,72
1096,00;86,59
1094,00;86,47
1092,00;86,34
1090,00;86,22
1088,00;86,08
1086,00;85,94
1084,00;85,79
1082,00;85,62
1080,00;85,44
1078,00;85,23
1076,00;85,00
1074,00;84,75
1072,00;84,47
1070,00;84,16
1068,00;83,83
1066,00;83,47
1064,00;83,08
1062,00;82,66
1060,00;82,22
1058,00;81,75
1056,00;81,27
1054,00;80,77
1052,00;80,27
1050,00;79,77
1048,00;79,28
1046,00;78,80
1044,00;78,34
1042,00;77,90
1040,00;77,50
1038,00;77,12
1036,00;76,78
1034,00;76,48
1032,00;76,22
1030,00;75,99
1028,00;75,79
1026,00;75,62
1024,00;75,48
1022,00;75,37
1020,00;75,29
1018,00;75,24
1016,00;75,21
1014,00;75,21
1012,00;75,25
1010,00;75,31
1008,00;75,40
1006,00;75,53
1004,00;75,70
1002,00;75,90
1000,00;76,14
998,00;76,41
996,00;76,71
994,00;77,04
992,00;77,39
990,00;77,77
988,00;78,16
986,00;78,56
984,00;78,98
982,00;79,40
980,00;79,81
978,00;80,23
976,00;80,64
974,00;81,04
972,00;81,43
970,00;81,81
968,00;82,17
966,00;82,51
964,00;82,84
962,00;83,14
960,00;83,42
958,00;83,68
956,00;83,92
954,00;84,13
952,00;84,32
950,00;84,48
948,00;84,62
946,00;84,73
944,00;84,82
942,00;84,89
940,00;84,94
938,00;84,97
936,00;84,99
934,00;85,00
932,00;84,99
930,00;84,98
928,00;84,96
926,00;84,95
924,00;84,94
922,00;84,94
920,00;84,94
918,00;84,97
916,00;85,02
914,00;85,08
912,00;85,17
910,00;85,29
908,00;85,43
906,00;85,60
904,00;85,80
902,00;86,02
900,00;86,25
